name,contact_number,contact_person,address,tin,customer_type_id,pricing_remarks
PERFECT AUTO PARTS INC. ,082-221-0169,SEASTAR,R. MAGSAYSAY AVE. DAVAO CITY,000-076-452,1,
MAPH  AUTO PARTS,,,VILLA ABRILLE ST. DAVAO CITY,,1,
"FORDTOWN AUTO SUPPLY,INC.",082-221-2504/05,SEASTAR ( mam joy),"590 E Quirino Av,BRGY POBLACION DISTRICT Davao City 8000",009-889-789,1,
"LAUAN INDUSTRIES, INC.",227-5470,EDNA accounting,"43 P. Sobrecarey St, bo obrero, Davao City",000-077-041,1,
JVNI AUTO SUPPLY,(082) 224 5011/5012,VINCENT ANG,"Sta. Ana Ave. Cor. Gempesaw, Davao City",936-269-875,1,
FIVE STAR SURPLUS & HARD,224-6088/6188,,"169 5th A. ST.ECOLOND MATINA, DAVAO CITY",,1,
ROADSTAR AUTO SUPPLY,088-856-3875,seastar (ROADSTAR8853@YAHOO.COM.PH),OSMENA ST. CAGAYAN DE ORO CITY,103-310-823,1,
ANSCO AUTO SUPPLY & HARDWARE,9226998233,SEASTAR,129 A R. MAGSAYSAY AVE. DAVAO CITY,,1,
NEDMAR AUTO SUPPLY,082-221-3403/04,,"VILLA ABRILLE ST., DAVAO CITY",,1,
MAPH  AUTO PARTS,,,VILLA ABRILLE ST. DAVAO CITY,,1,
FIVE STAR SURPLUS & HARD,,,"169 5th A. ST.ECOLOND MATINA, DAVAO CITY",,1,
NEW DAVAO STARLIGHT HARD.,082-221-7511,,"160 R. MAGSAYSAY  AVE., DAVAO CITY",,1,
TAIHU PARTS & HARDWARE INC.,09177002793 082-226-4448,SEASTAR,VILLA ABRILLE BLDG. DAVAO CITY,000-076-874,1,
REALSON CLUTCH-BRAKE & AUTO SUPPLY,+63 (82) 224 0007 09558961001,SOUTHSEA ---------- 178 cargo 09338516907 honey,MAGALLANES ST. DAVAO CITY,000-065-432,1,
"FARMA AUTO SUPPLY, INC.",082-226-4596,SEASTAR,"MONTEVERDE AVE., DAVAO CITY",,1,
PHIL. ALL TRAC MOTORS CORP.,082-221-4044 (RENZ),patmcorp@gmail.com082-226-3968 082-221-9084 09176315588,"STA. ANA AVENUE, DAVAO CITY    AUTO PARTS DEALER",000-077-816,1,
DAVAO ECONOMY AUTO PARTS,9163119394,SIR SIOTI,"8B VILLA ABRILLE ST., DAVAO CITY",004-748-346,1,
XXNEDMAR AUTO SUPPLY,082-221-3102,,SUAZO ST. DAVAO CITY,,1,
DAVAO MILON TRADE,082-221-1239,SIR FRED SEASTAR,131 R. MAGASAYSAY ST. DAVAO CITY,,1,
WAVETECH AUTO SUPPLY,082-226-4797,,DAVAO CITY,,1,
LCL INDUSTRIAL SALES,,,DAVAO CITY,,1,
CRUZ ELECTRICAL & CONSTRUCTION SUPPLY ,082-227-5113,,"355 MONTEVERDE AVE., DAVAO CITY",,1,
ASTINE MOTOR PARTS,227-2862,,"423 LIM BLDG., VILLA ABRILLE DAVAO CITY",,1,
DAVAO JONI AUTO SUPPLY,082-224-1665,,DOOR 1&2 FAR EAST CERIAL BLDG. DAVAO,,1,
SIMPLEX INDUSTRIAL CORP.,,,DAVAO CITY,,1,
METRO SOUND CAR ACCESS,082-221-7775,JOSHUA DISUACIDO,"T. MONTEVERDE AVE., DAVAO CITY",,1,
NEW TAS AUTO SUPPLY / HANSON YU,032-346-0167,HANSON YU,"MC BRIONES HI-WAY, MANDAUE CITY",220-677-060,1,
XXXXXXTRUST MARKETING & AUTO SUPPLY,032-345-1139,SOUTHSEA,"TIPOLO, MANDAUE CITY, CEBU",,1,
KTI MOTOR SALES,032-234-4880,PCDC,"102-J King Bldg, 3rd Ave., NRA,CEBU CITY",,1,
CEBU UNIVERSAL AUTO SUPPLY,(032)2549062,SEASTAR,LEON KILAT ST. CEBU CITY,,1,
POWER AUTO PARTS INC.,032-346-0724,DORIS CAPIN 09228207877,"SUBANGDAKU, MANDAUE CITY , CEBU",000-070-174,1,
GEMINI PARTS CENTER ( CEBU ),9664958049,CARLA,"719 M.J. CUENCO AVE., CEBU CITY",,1,
KOREAN AUTO PARTS,,,CEBU CITY,,1,
(OLD)SOUTH SEA AUTO SUPPLY,032-346-0106,SEASTAR,4 MT. TAAL ST. SINGSON VILLAGE MANDAUE,,1,
GREAT GRACE AUTO SUPPLY,032-,,3-1 LEON KILAT ST. CEBU CITY,,1,
TRIPLE-A AUTO PARTS TRADING (CEBU PIONEER AUTO SUPPLY),9177704469,"032/ SSTAR ( 18 LEON KILAT ST., CEBU CITY)",7 SAINTS MARYS DRIVE CEBU CITY,,1,
CEBU SEALTRUST AUTO SUPPLY,0921-207-3113,RICHELLE PATINA,"LEON KILAT ST., CEBU CITY",155-567-762,1,
H & E AUTO SUPPLY (FORMER KASALIGAN AUTO MART),9175466385,AP CARGO   (FORMER KASALIGAN AUTO MART),"MERCADO, BASAK, LAPU-LAPU CITY, CEBU",179-927-197,1,
YASCO MOTOR PARTS CORP ( TALISAY CEBU CITY),032-344-0001,ROLDAN SAYSON 032-236-8426,"ZONE 3, SAN ISIDRO TALISAY CITY CEBU  09235769587",004-268-535,1,
ALASKA REF. & AIRCON SUPPLY,,,"194-B ARANA ST., CEBU CITY",,1,
SECURITY AUTO SUPPLY,032-255-4326,SEASTAR,"#99 LEON KILAT ST., CEBU CITY",103-781-248,1,
