supplier_code,name,contact_person,contact_number,email,address,tin,telefax,payment_terms,status
00000001,KIMASIA MERCHANDISING,JOSEPH VIBER-0933388-8666/09274537453,BDO 276-017-8508,,22 MAPALAD ST. SAN FRANCISCO DEL MONTE QUEZON CITY      BDO 002760178508  ,440-381-603,234-9144/45/46,,Active
00000002,CELICA MOTOR SALES CORPORATION,EDWRD / 30DAYS ORIG,716-1020,,"119 ARANETA AVE., QUEZON CITY",000-393-300-000,716-1404,,Active
00000003,JAPAN PARTS TRADING CENTER,maam beth,255-777 / 544-4276/357-1577,,1273 CLARO M. RECTO AVE. STA. CRUZ MLA.,103-921-117-000,253-0251,,Active
00000005,VISCO MOTOR SUPPLY CO INC,,365-3625,,"19 BINMACA ST., QUEZON CITY",000-832-644-000,362-4684,,Active
00000006,JAM MOTOR PARTS SALES (JIREH AUTOMOTIVE MOTOR PARTS CORP),,845-1773 / 2968,,"# 505-A EDSA PASAY CITY, METRO MANILA",109-919-213-000,845-1773,,Active
00000007,KINGSWEALTH INTERNATIONAL TRADING CORPORATION,RAMON,412-5474,,"397D BANAWE ST., QUEZON CITY",,412-5412,,Active
00000008,GRANDPRIX INDUSTRIAL SALES,,255-9852 / 9853,,"2141 TOMAS MAPUA ST., STA. CRUZ MANILA",000-327-020-000,255-9854,,Active
00000009,FEDCHEM MARKETING,,334-1664 / 1662,,51 JOY ST. GRACE VILL. BALINTAWAK Q. C.,,,,Active
00000010,DAV COMMERCIAL,,363-0855 / 0857,,,,,,Active
00000011, FOXSON TRADING (FOXSTONE TRADING),,523-0382,,"2118 LEON GUINTO ST., MALATE MANILA",,525-5864,,Active
00000012,BINDY PARTS CORP.,GLENN / ALLAN,244-8073 / 8075,,1246 SOLER COR. BENAVIDEZ ST. BINONDO,000-330-686-000,244-8063,,Active
00000013,V T ENTERPRISES,BENITO,254-9184,,"1140 AGUILAR ST., BINONDO MANILA",104-012-185-000,254-8598,,Active
00000014,SUPER CENTERMARKETING VENTURE CORPORATION,LIN,912-0287,,"20 MIAMI ST., QUEZON CITY",231-743-839-000,912-0273,,Active
00000015,GOLD MEDAL ENTERPRISES INC ( COMMERCIAL ),NORA,743-1835 / 0137,,(COMMERCIAL )30 KITANLAD ST. QUEZON CITY,200-641-257-000,413-3156,,Active
00000016,DRICO MARKETING CORP.,JHONNY,244-2172 / 2176,,"835 ALVARADO ST., RM.101 BINONDO MLA.",002-283-666-000,244-0217,,Active
00000017,MYCAR MOTOR PARTS,jerve,8356-3657,,1449-Pedro Gil st Paco Manila,,LESS 20% 5% X 7,,Active
00000018,DCJ Enterprises (LA UNION ENTERPRISES),,733-5851 / 5866,,"827 ESPELETA ST., STA. CRUZ MANILA",105-173-533,,,Active
00000019,ENG AN ELECTRICAL SUPPLIES INC,LAURA  BDO 000570062918,740-1282 / 1286,,"221-A KANLAON ST., QUEZON CITY ( BDO - Quintin Paredes Branch  Acct # 570062918)",,742-6598,,Active
00000020,"YOUNGBROS PARTS CENTRE, INC",,712-0226 / 0210,,"BANAWE ST., QUEZON CITY",,732-9803,,Active
00000021,PROMAX TRADING CORPORATION,GEORGE  ,831-2472,,GCASH 09178811029 LEA POH,,,,Active
00000022,NISSAN GALLERY (MGM MOTOR TRADING INC),EMIL,743-0093,,QUEZON AVE QUEZON CITY  BDO 000578043336,002-919-431,,,Active
00000023,METRO PRO,,252-5564,,"2439 TINDALO ST., TONDO MANILA",,252-5564,,Active
00000024,MITZUTOYO,,242-9584,,,,,,Active
00000025,MULTILINE  (HONDA),,712-0309,,,,,,Active
00000026,ASIAGLOBAL INTERNATIONAL COMPANY/LUXEMBURG,GILBERT,8-711-3992/8-256-4868/8442-4479,,"1428A RIVERA ST., TONDO MANILA",007-616-585,,,Active
00000027,"GENCARS, INC.",,819-1213,,2113 PASONG TAMO COR DELA ROSA STS MAKATI CITY BDO 00694-001-0881    ,000-120-732,,,Active
